uf,date_base,target_date,target_taxa,taxa_atual,taxa_media_3m,taxa_media_6m,taxa_tendencia_6m,taxa_volatilidade_6m,saldo_atual,estoque_atual,admissoes_atual,desligamentos_atual,saldo_medio_6m,taxa_lag_6m,taxa_lag_5m,taxa_lag_4m,taxa_lag_3m,taxa_lag_2m,taxa_lag_1m
Sudeste,2023-08-01,2023-09-01,0.0036157987088590933,0.004406967685336356,0.003630796434708513,0.004227625335527109,-0.0002800098115574402,0.0007347459835451332,100006.0,22692701.0,1056266.0,956260.0,94934.0,0.00513520307555462,0.004760634560318229,0.004577525073164264,0.003378001277833845,0.00310742034095534,0.004406967685336356
Sudeste,2023-09-01,2023-10-01,0.004222524265545254,0.0036157987088590933,0.003710062245050263,0.003974391274411188,-0.00018589806736165438,0.0006331112975700742,82350.0,22775051.0,957902.0,875552.0,89626.83333333333,0.004760634560318229,0.004577525073164264,0.003378001277833845,0.00310742034095534,0.004406967685336356,0.0036157987088590933
Sudeste,2023-10-01,2023-11-01,0.003197516634783169,0.004222524265545254,0.004081763553246901,0.0038847062252823587,6.798159981762727e-06,0.0005477393721921908,96576.0,22871627.0,997266.0,900690.0,87994.5,0.004577525073164264,0.003378001277833845,0.00310742034095534,0.004406967685336356,0.0036157987088590933,0.004222524265545254
Sudeste,2023-11-01,2023-12-01,-0.009722203764062295,0.003197516634783169,0.003678613203062505,0.0036547048188855093,4.7191988058260266e-05,0.0004958054414686999,73367.0,22944994.0,963513.0,890146.0,83097.5,0.003378001277833845,0.00310742034095534,0.004406967685336356,0.0036157987088590933,0.004222524265545254,0.003197516634783169
Sudeste,2023-12-01,2024-01-01,0.002512717772275509,-0.009722203764062295,-0.0007673876212446239,0.0014713373119028198,-0.0019191356605731875,0.0050288748671773005,-220928.0,22724066.0,795919.0,1016847.0,33596.0,0.00310742034095534,0.004406967685336356,0.0036157987088590933,0.004222524265545254,0.003197516634783169,-0.009722203764062295
Sudeste,2024-01-01,2024-02-01,0.006955662289821689,0.002512717772275509,-0.0013373231190012054,0.0013722202171228479,-0.0014431504175665855,0.0050014373762748065,57243.0,22781309.0,1033892.0,976649.0,31435.666666666668,0.004406967685336356,0.0036157987088590933,0.004222524265545254,0.003197516634783169,-0.009722203764062295,0.002512717772275509
Sudeste,2024-02-01,2024-03-01,0.006423094590358377,0.006955662289821689,-8.460790065503247e-05,0.0017970026512037364,-3.856634210976362e-05,0.005338051258938429,159569.0,22940878.0,1141731.0,982162.0,41362.833333333336,0.0036157987088590933,0.004222524265545254,0.003197516634783169,-0.009722203764062295,0.002512717772275509,0.006955662289821689
Sudeste,2024-03-01,2024-04-01,0.005445090289100089,0.006423094590358377,0.005297158217485192,0.0022648852981202836,0.0009860631464433992,0.0055938652403143075,148304.0,23089182.0,1171754.0,1023450.0,52355.166666666664,0.004222524265545254,0.003197516634783169,-0.009722203764062295,0.002512717772275509,0.006955662289821689,0.006423094590358377
Sudeste,2024-04-01,2024-05-01,0.0036346770395311095,0.005445090289100089,0.006274615723093385,0.0024686463020460897,0.001831905938639794,0.005683018742099527,126411.0,23215593.0,1167544.0,1041133.0,57327.666666666664,0.003197516634783169,-0.009722203764062295,0.002512717772275509,0.006955662289821689,0.006423094590358377,0.005445090289100089
Sudeste,2024-05-01,2024-06-01,0.004004494663858364,0.0036346770395311095,0.005167620639663192,0.0025415063695040795,0.0021442558248279267,0.005694686651030688,84689.0,23300282.0,1121857.0,1037168.0,59214.666666666664,-0.009722203764062295,0.002512717772275509,0.006955662289821689,0.006423094590358377,0.005445090289100089,0.0036346770395311095
Sudeste,2024-06-01,2024-07-01,0.0035162378465761865,0.004004494663858364,0.0043614206641631875,0.004829289440824189,-9.948787412045028e-05,0.0015766407613091247,93681.0,23393963.0,1068384.0,974703.0,111649.5,0.002512717772275509,0.006955662289821689,0.006423094590358377,0.005445090289100089,0.0036346770395311095,0.004004494663858364
Sudeste,2024-07-01,2024-08-01,0.004082722115656156,0.0035162378465761865,0.0037184698499885534,0.00499654278654097,-0.0007503810070084724,0.0013604248506160711,82549.0,23476512.0,1112233.0,1029684.0,115867.16666666667,0.006955662289821689,0.006423094590358377,0.005445090289100089,0.0036346770395311095,0.004004494663858364,0.0035162378465761865
Sudeste,2024-08-01,2024-09-01,0.0041519941988172465,0.004082722115656156,0.003867818208696902,0.004517719424180047,-0.00048910291647873,0.0010587589245108571,96241.0,23572753.0,1129239.0,1032998.0,105312.5,0.006423094590358377,0.005445090289100089,0.0036346770395311095,0.004004494663858364,0.0035162378465761865,0.004082722115656156
Sudeste,2024-09-01,2024-10-01,0.0027576946602853253,0.0041519941988172465,0.003916984720349863,0.004139202692256525,-0.0001602743440091785,0.0006284204643243137,98282.0,23671035.0,1101741.0,1003459.0,96975.5,0.005445090289100089,0.0036346770395311095,0.004004494663858364,0.0035162378465761865,0.004082722115656156,0.0041519941988172465
Sudeste,2024-10-01,2024-11-01,0.002256268030030891,0.0027576946602853253,0.003664136991586242,0.003691303420787398,-9.645511492206573e-05,0.0004776702423229416,65458.0,23736493.0,1144891.0,1079433.0,86816.66666666667,0.0036346770395311095,0.004004494663858364,0.0035162378465761865,0.004082722115656156,0.0041519941988172465,0.0027576946602853253
Sudeste,2024-11-01,2024-12-01,-0.012056144338679638,0.002256268030030891,0.0030553189630444875,0.0034615685858706943,-0.00031278544699568135,0.0007197759630409794,53677.0,23790170.0,1020072.0,966395.0,81648.0,0.004004494663858364,0.0035162378465761865,0.004082722115656156,0.0041519941988172465,0.0027576946602853253,0.002256268030030891
Sudeste,2024-12-01,2025-01-01,0.0011793737073512213,-0.012056144338679638,-0.0023473938827878074,0.000784795418781028,-0.0024210163634767663,0.005782479611955977,-283401.0,23506769.0,790313.0,1073714.0,18801.0,0.0035162378465761865,0.004082722115656156,0.0041519941988172465,0.0027576946602853253,0.002256268030030891,-0.012056144338679638
Sudeste,2025-01-01,2025-02-01,0.009612945055617448,0.0011793737073512213,-0.0028735008670991748,0.0003953180622435335,-0.001818359550979136,0.005662849421125348,27756.0,23534525.0,1118437.0,1090681.0,9668.833333333334,0.004082722115656156,0.0041519941988172465,0.0027576946602853253,0.002256268030030891,-0.012056144338679638,0.0011793737073512213
Sudeste,2025-02-01,2025-03-01,0.0020194831448584593,0.009612945055617448,-0.00042127519190365603,0.0013170218855704156,0.00023592511589966161,0.0065660446300934905,228432.0,23762957.0,1312801.0,1084369.0,31700.666666666668,0.0041519941988172465,0.0027576946602853253,0.002256268030030891,-0.012056144338679638,0.0011793737073512213,0.009612945055617448
Sudeste,2025-03-01,2025-04-01,0.0054279285742241355,0.0020194831448584593,0.004270600635942376,0.0009616033765772843,0.0009032711870187486,0.006459825880148171,48086.0,23811043.0,1140485.0,1092399.0,23334.666666666668,0.0027576946602853253,0.002256268030030891,-0.012056144338679638,0.0011793737073512213,0.009612945055617448,0.0020194831448584593
Sudeste,2025-04-01,2025-05-01,0.0031036584703172687,0.0054279285742241355,0.005686785591566681,0.001406642362233753,0.001900535900567049,0.006657199875450524,129950.0,23940993.0,1170183.0,1040233.0,34083.333333333336,0.002256268030030891,-0.012056144338679638,0.0011793737073512213,0.009612945055617448,0.0020194831448584593,0.0054279285742241355
Sudeste,2025-05-01,2025-06-01,0.0031683729206307474,0.0031036584703172687,0.003517023396466621,0.0015478741022814824,0.0023128919067098358,0.006682666415929155,74536.0,24015529.0,1158852.0,1084316.0,37559.833333333336,-0.012056144338679638,0.0011793737073512213,0.009612945055617448,0.0020194831448584593,0.0054279285742241355,0.0031036584703172687
Sudeste,2025-06-01,2025-07-01,0.00207245545854853,0.0031683729206307474,0.003899986655057384,0.00408529364549988,-0.00017641195028963546,0.0027950519854421825,76332.0,24091861.0,1103184.0,1026852.0,97515.33333333333,0.0011793737073512213,0.009612945055617448,0.0020194831448584593,0.0054279285742241355,0.0031036584703172687,0.0031683729206307474
Sudeste,2025-07-01,2025-08-01,0.0026315406786993683,0.00207245545854853,0.0027814956164988486,0.004234140604032765,-0.001045144250340988,0.0026566930567116227,50033.0,24141894.0,1144960.0,1094927.0,101228.16666666667,0.009612945055617448,0.0020194831448584593,0.0054279285742241355,0.0031036584703172687,0.0031683729206307474,0.00207245545854853
Sudeste,2025-08-01,2025-09-01,0.0033203587662490736,0.0026315406786993683,0.0026241230192928823,0.0030705732078797517,-0.00019832620650025128,0.0011446660841651635,63698.0,24205592.0,1139060.0,1075362.0,73772.5,0.0020194831448584593,0.0054279285742241355,0.0031036584703172687,0.0031683729206307474,0.00207245545854853,0.0026315406786993683
Sudeste,2025-09-01,2025-10-01,0.0008555139571579016,0.0033203587662490736,0.002674784967832324,0.003287385811444854,-0.000372860567908892,0.0010438006626129783,80639.0,24286231.0,1162341.0,1081702.0,79198.0,0.0054279285742241355,0.0031036584703172687,0.0031683729206307474,0.00207245545854853,0.0026315406786993683,0.0033203587662490736
Sudeste,2025-10-01,2025-11-01,0.001779604079775412,0.0008555139571579016,0.0022691378007021145,0.0025253167086004813,-0.00029216228025117204,0.000854858704792191,20795.0,24307026.0,1156071.0,1135276.0,61005.5,0.0031036584703172687,0.0031683729206307474,0.00207245545854853,0.0026315406786993683,0.0033203587662490736,0.0008555139571579016
Sudeste,2025-11-01,2025-12-01,-0.013576801328604587,0.001779604079775412,0.0019851589343941292,0.002304640976843506,-0.00028302430345425315,0.0008479506560799545,43334.0,24350360.0,1027224.0,983890.0,55805.166666666664,0.0031683729206307474,0.00207245545854853,0.0026315406786993683,0.0033203587662490736,0.0008555139571579016,0.001779604079775412
Sudeste,2025-12-01,2026-01-01,0.0005534459384928121,-0.013576801328604587,-0.0036472277638904247,-0.00048622139802905005,-0.0023790553869036746,0.005902751081043494,-330600.0,,788171.0,1118771.0,-12016.833333333334,0.00207245545854853,0.0026315406786993683,0.0033203587662490736,0.0008555139571579016,0.001779604079775412,-0.013576801328604587
Sudeste,2026-01-01,2026-02-01,0.005505726138084349,0.0005534459384928121,-0.003747917103445454,-0.00073938965137167,-0.0017187961103707506,0.0058195695412948745,13301.0,24033061.0,1092908.0,1079607.0,-18138.833333333332,0.0026315406786993683,0.0033203587662490736,0.0008555139571579016,0.001779604079775412,-0.013576801328604587,0.0005534459384928121
Sudeste,2026-02-01,2026-03-01,0.005679155896896578,0.005505726138084349,-0.002505876417342475,-0.00026035874147417316,-0.00015245064586282537,0.006184197794021724,133052.0,24166113.0,1213326.0,1080274.0,-6579.833333333333,0.0033203587662490736,0.0008555139571579016,0.001779604079775412,-0.013576801328604587,0.0005534459384928121,0.005505726138084349
Sudeste,2026-03-01,2026-04-01,0.0018294622481665847,0.005679155896896578,0.003912775991157913,0.0001327741136337442,0.0014121949468776454,0.006467802173745109,138027.0,24304140.0,1302685.0,1164658.0,2984.8333333333335,0.0008555139571579016,0.001779604079775412,-0.013576801328604587,0.0005534459384928121,0.005505726138084349,0.005679155896896578
Sudeste,2026-04-01,2026-05-01,0.0018804603879275042,0.0018294622481665847,0.004338114761049171,0.0002950988288018583,0.001799126934801454,0.006496064085502499,44545.0,24348685.0,1165360.0,1120815.0,6943.166666666667,0.001779604079775412,-0.013576801328604587,0.0005534459384928121,0.005505726138084349,0.005679155896896578,0.0018294622481665847
Sudeste,2026-05-01,2026-06-01,0.0028768922843509003,0.0018804603879275042,0.0031296928443302224,0.0003119082134938735,0.0023225082077283996,0.0065000129707336665,45873.0,24394558.0,1150914.0,1105041.0,7366.333333333333,-0.013576801328604587,0.0005534459384928121,0.005505726138084349,0.005679155896896578,0.0018294622481665847,0.0018804603879275042
Sul,2020-07-01,2020-08-01,0.005965861635026619,0.003494536055260828,-0.0030124477497475194,-0.005872407860703859,7.298084970390448e-05,0.013055601246197913,23935.0,6849264.0,218980.0,195045.0,-40223.666666666664,0.009413677500761736,-0.004723104175263954,-0.030887677240478383,-0.012344342557190547,-0.00018753674731284017,0.003494536055260828
Sul,2020-08-01,2020-09-01,0.008635770667932014,0.005965861635026619,0.0030909536476582023,-0.006447043838326379,0.004821379278529949,0.012431085520669597,41107.0,6890371.0,259579.0,218472.0,-44603.0,-0.004723104175263954,-0.030887677240478383,-0.012344342557190547,-0.00018753674731284017,0.003494536055260828,0.005965861635026619
Sul,2020-09-01,2020-10-01,0.01308027775888458,0.008635770667932014,0.006032056119406488,-0.004220564697793717,0.007320854997750775,0.01367459562243167,60022.0,6950393.0,296589.0,236567.0,-28991.166666666668,-0.030887677240478383,-0.012344342557190547,-0.00018753674731284017,0.003494536055260828,0.005965861635026619,0.008635770667932014
Sul,2020-10-01,2020-11-01,0.012824223832944187,0.01308027775888458,0.009227303353947738,0.0031074278021001093,0.004458981411596455,0.008041090374836777,92118.0,7042511.0,349827.0,257709.0,21938.666666666668,-0.012344342557190547,-0.00018753674731284017,0.003494536055260828,0.005965861635026619,0.008635770667932014,0.01308027775888458
Sul,2020-11-01,2020-12-01,-0.0033059597001163913,0.012824223832944187,0.011513424086586926,0.007302188867122565,0.002756741058430336,0.004796484858914217,91488.0,7133999.0,339444.0,247956.0,51231.666666666664,-0.00018753674731284017,0.003494536055260828,0.005965861635026619,0.008635770667932014,0.01308027775888458,0.012824223832944187
Sul,2020-12-01,2021-01-01,0.012018910122451158,-0.0033059597001163913,0.007532847297237458,0.006782451708321973,-0.0002566538597765948,0.005669416018874363,-23507.0,7110492.0,263375.0,286882.0,47527.166666666664,0.003494536055260828,0.005965861635026619,0.008635770667932014,0.01308027775888458,0.012824223832944187,-0.0033059597001163913
