setor,date_base,target_date,target_taxa,taxa_atual,taxa_media_3m,taxa_media_6m,taxa_tendencia_6m,taxa_volatilidade_6m,saldo_atual,estoque_atual,admissoes_atual,desligamentos_atual,saldo_medio_6m,taxa_lag_6m,taxa_lag_5m,taxa_lag_4m,taxa_lag_3m,taxa_lag_2m,taxa_lag_1m
Outros serviços,2024-05-01,2024-06-01,0.005169961114946072,0.0050317228377520316,0.006893936289394907,0.004469671962033377,0.0021300208833101193,0.005613962661593674,6918.0,1374877.0,56021.0,49103.0,6098.166666666667,-0.007269900024762368,0.004353889537101359,0.009052233391676549,0.005896869742517627,0.009753216287915062,0.0050317228377520316
Outros serviços,2024-06-01,2024-07-01,0.0032203691776410454,0.005169961114946072,0.006651633413537722,0.006542982151984784,-0.00011785220649007331,0.002080890201996788,7145.0,1382022.0,53158.0,46013.0,8898.833333333334,0.004353889537101359,0.009052233391676549,0.005896869742517627,0.009753216287915062,0.0050317228377520316,0.005169961114946072
Outros serviços,2024-07-01,2024-08-01,0.005711208210256223,0.0032203691776410454,0.004474017710113049,0.006354062092074731,-0.0010303297258015774,0.002309910170083066,4465.0,1386487.0,55640.0,51175.0,8674.666666666666,0.009052233391676549,0.005896869742517627,0.009753216287915062,0.0050317228377520316,0.005169961114946072,0.0032203691776410454
Outros serviços,2024-08-01,2024-09-01,0.0060622000975084035,0.005711208210256223,0.004700512834281113,0.00579722456183801,-0.0005825317347124292,0.0019700606802842582,7964.0,1394451.0,58376.0,50412.0,7970.333333333333,0.005896869742517627,0.009753216287915062,0.0050317228377520316,0.005169961114946072,0.0032203691776410454,0.005711208210256223
Outros serviços,2024-09-01,2024-10-01,0.0028848306521252437,0.0060622000975084035,0.004997925828468557,0.005824779621003139,-0.0005247490506235929,0.001972416525008939,8505.0,1402956.0,55480.0,46975.0,8056.5,0.009753216287915062,0.0050317228377520316,0.005169961114946072,0.0032203691776410454,0.005711208210256223,0.0060622000975084035
Outros serviços,2024-10-01,2024-11-01,0.0034034083665056454,0.0028848306521252437,0.004886079653296623,0.004680048681704837,-0.00015905442708090758,0.0012035221533840807,4059.0,1407015.0,53620.0,49561.0,6509.333333333333,0.0050317228377520316,0.005169961114946072,0.0032203691776410454,0.005711208210256223,0.0060622000975084035,0.0028848306521252437
Outros serviços,2024-11-01,2024-12-01,-0.012741220236173818,0.0034034083665056454,0.004116813038713097,0.004408662936497105,-0.00027109678375706724,0.0012750835193734158,4805.0,1411820.0,48708.0,43903.0,6157.166666666667,0.005169961114946072,0.0032203691776410454,0.005711208210256223,0.0060622000975084035,0.0028848306521252437,0.0034034083665056454
Outros serviços,2024-12-01,2025-01-01,0.005492392761370195,-0.012741220236173818,-0.002150993739180976,0.0014234660446437904,-0.0025688204584488335,0.006452719619266923,-17762.0,1394058.0,36477.0,54239.0,2006.0,0.0032203691776410454,0.005711208210256223,0.0060622000975084035,0.0028848306521252437,0.0034034083665056454,-0.012741220236173818
Outros serviços,2025-01-01,2025-02-01,0.010514924967511451,0.005492392761370195,-0.001281806369432659,0.001802136641931982,-0.0016281645866027545,0.00661176348309643,7699.0,1401757.0,62084.0,54385.0,2545.0,0.005711208210256223,0.0060622000975084035,0.0028848306521252437,0.0034034083665056454,-0.012741220236173818,0.005492392761370195
Outros serviços,2025-02-01,2025-03-01,0.0028113950897020864,0.010514924967511451,0.0010886991642359428,0.00260275610147452,0.00039833377357344647,0.007292443450866663,14896.0,1416653.0,70743.0,55847.0,3700.3333333333335,0.0060622000975084035,0.0028848306521252437,0.0034034083665056454,-0.012741220236173818,0.005492392761370195,0.010514924967511451
Outros serviços,2025-03-01,2025-04-01,0.008260499273986373,0.0028113950897020864,0.006272904272861244,0.0020609552668401344,0.0011200281425270183,0.0071343403981935505,3994.0,1420647.0,59632.0,55638.0,2948.5,0.0028848306521252437,0.0034034083665056454,-0.012741220236173818,0.005492392761370195,0.010514924967511451,0.0028113950897020864
Outros serviços,2025-04-01,2025-05-01,0.0037624574897940732,0.008260499273986373,0.007195606443733304,0.0029569000371503225,0.0021704523634620736,0.0075092404249827,11833.0,1432480.0,61241.0,49408.0,4244.166666666667,0.0034034083665056454,-0.012741220236173818,0.005492392761370195,0.010514924967511451,0.0028113950897020864,0.008260499273986373
Outros serviços,2025-05-01,2025-06-01,0.004379541827221016,0.0037624574897940732,0.004944783951160845,0.003016741557698394,0.002374833665425103,0.007513989371354866,5410.0,1437890.0,58540.0,53130.0,4345.0,-0.012741220236173818,0.005492392761370195,0.010514924967511451,0.0028113950897020864,0.008260499273986373,0.0037624574897940732
Outros serviços,2025-06-01,2025-07-01,0.0022818369098000853,0.004379541827221016,0.005467499530333822,0.005870201901597532,-0.0005820729405603927,0.0026910551434102324,6325.0,1444215.0,55815.0,49490.0,8359.5,0.005492392761370195,0.010514924967511451,0.0028113950897020864,0.008260499273986373,0.0037624574897940732,0.004379541827221016
Outros serviços,2025-07-01,2025-08-01,0.005640472917692785,0.0022818369098000853,0.0034746120756050584,0.0053351092596691805,-0.0011702583388626371,0.0030129261929363344,3303.0,1447518.0,56632.0,53329.0,7626.833333333333,0.010514924967511451,0.0028113950897020864,0.008260499273986373,0.0037624574897940732,0.004379541827221016,0.0022818369098000853
Outros serviços,2025-08-01,2025-09-01,0.004963123466325812,0.005640472917692785,0.004100617218237962,0.004522700584699404,-9.067181757652711e-05,0.00199035401080336,8211.0,1455729.0,61690.0,53479.0,6512.666666666667,0.0028113950897020864,0.008260499273986373,0.0037624574897940732,0.004379541827221016,0.0022818369098000853,0.005640472917692785
Outros serviços,2025-09-01,2025-10-01,0.009278176680158543,0.004963123466325812,0.004295144431272894,0.004881321980803357,-0.0003700153620579311,0.0018376980398003794,7261.0,1462990.0,59693.0,52432.0,7057.166666666667,0.008260499273986373,0.0037624574897940732,0.004379541827221016,0.0022818369098000853,0.005640472917692785,0.004963123466325812
Outros serviços,2025-10-01,2025-11-01,0.0026273469671703204,0.009278176680158543,0.006627257688059047,0.005050934881832053,0.000933942196486555,0.002160389060802969,13701.0,1476691.0,70482.0,56781.0,7368.5,0.0037624574897940732,0.004379541827221016,0.0022818369098000853,0.005640472917692785,0.004963123466325812,0.009278176680158543
Outros serviços,2025-11-01,2025-12-01,-0.010955834229940814,0.0026273469671703204,0.0056228823712182255,0.0048617497947280935,0.0003300198731272834,0.002309492865379361,3890.0,1480581.0,50201.0,46311.0,7115.166666666667,0.004379541827221016,0.0022818369098000853,0.005640472917692785,0.004963123466325812,0.009278176680158543,0.0026273469671703204
Outros serviços,2025-12-01,2026-01-01,0.004111112244585676,-0.010955834229940814,0.00031656313912934987,0.0023058537852011216,-0.002026076581041118,0.006360953245594921,-16221.0,,41533.0,57754.0,3357.5,0.0022818369098000853,0.005640472917692785,0.004963123466325812,0.009278176680158543,0.0026273469671703204,-0.010955834229940814
Outros serviços,2026-01-01,2026-02-01,0.010229523115881642,0.004111112244585676,-0.0014057916727282726,0.0026107330076653866,-0.0017729858904949615,0.006396236268423803,6045.0,1470405.0,59198.0,53153.0,3814.5,0.005640472917692785,0.004963123466325812,0.009278176680158543,0.0026273469671703204,-0.010955834229940814,0.004111112244585676
Outros serviços,2026-02-01,2026-03-01,0.006626493134123965,0.010229523115881642,0.0011282670435088344,0.00337557470736353,-7.863932160144575e-05,0.006962132961553024,15197.0,1485602.0,70590.0,55393.0,4978.833333333333,0.004963123466325812,0.009278176680158543,0.0026273469671703204,-0.010955834229940814,0.004111112244585676,0.010229523115881642
Outros serviços,2026-03-01,2026-04-01,0.004699272514546714,0.006626493134123965,0.006989042831530428,0.003652802985329889,0.0007032873482996447,0.007052361291236683,9910.0,1495512.0,69367.0,59457.0,5420.333333333333,0.009278176680158543,0.0026273469671703204,-0.010955834229940814,0.004111112244585676,0.010229523115881642,0.006626493134123965
Outros serviços,2026-04-01,2026-05-01,0.002350421249932774,0.004699272514546714,0.007185096254850774,0.0028896522910612506,0.0019778577342963507,0.0066379047154572065,7061.0,1502573.0,62080.0,55019.0,4313.666666666667,0.0026273469671703204,-0.010955834229940814,0.004111112244585676,0.010229523115881642,0.006626493134123965,0.004699272514546714
